id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1351,COMP_M,7,7_37,7_(35-37),105,107,35,44,7_35,21.9868154158215,4778.247443814941,4800.234259230762,4753.2472900287685,4778.247443814941
1329,COMP_M,18,18_101,18_(97-101),167,171,66,91,18_97,49.63267813267813,4778.457565691725,4828.090243824403,4773.457516265338,4778.457565691725
502,COMP_M,4,4_22,4_(21-22),91,92,74,28,4_21,108.54395604395604,4778.846314801459,4887.390270845415,3938.172893535588,3948.1729723082285
1613,COMP_M,1,1_3,M.USER.APP.1,2,73,88,34,None,49.72504708097929,4779.154461787477,4828.8795088684565,2400.0,2424.0274034760578
3227,COMP_M,3,3_14,3_(12-14),82,84,41,56,3_12,24.412197686645637,4779.90511493963,4804.317312626275,4759.904953733602,4779.90511493963
3227,COMP_M,3,3_15,3_(12-15),82,85,41,9,3_12,67.17079207920793,4779.905122677336,4847.075914756544,4759.904953733602,4779.905122677336
888,COMP_M,14,14_79,14_(76-79),147,150,2,61,14_76,37.21384297520661,4781.6984344462135,4818.91227742142,4756.991466873838,4771.991554953518
3290,COMP_M,19,19_103,19_(102-103),174,175,33,13,19_102,32.52625937834941,4783.183091028185,4815.709350406534,4765.699154778627,4783.183091028185
902,COMP_M,16,16_88,16_(87-88),161,157,17,84,16_87,91.7985257985258,4783.876243023523,4875.6747688220485,2876.4327179592437,2891.4327906258436
2744,COMP_M,5,5_24,M.USER.APP.5,13,94,10,70,None,119.73502304147465,4784.665962536231,4904.400985577706,4000.0,4018.553912518151
3227,COMP_M,3,3_16,3_(12-16),82,86,41,3,3_12,90.28615384615385,4784.905129115016,4875.19128296117,4759.904953733602,4784.905129115016
3227,COMP_M,3,3_19,3_(12-19),82,89,41,2,3_12,35.838471023427864,4784.905139016323,4820.743610039751,4759.904953733602,4784.905139016323
1805,COMP_M,15,15_81,M.USER.APP.15,54,151,24,13,None,30.135048231511256,4785.932541971069,4816.0675902025805,2600.0,2655.0004610674405
2338,COMP_M,10,10_58,10_(54-58),124,128,90,14,10_54,39.128482972136226,4786.119260354911,4825.247743327047,4771.119086281829,4786.119260354911
879,COMP_M,12,12_65,12_(63-65),137,134,50,78,12_63,43.85767326732673,4788.183098833531,4832.040772100858,4763.182877681972,4788.183098833531
2408,COMP_M,10,10_52,M.USER.APP.10,27,122,38,90,None,68.61474435196195,4790.802796151032,4859.417540502995,3500.0,3535.000252877053
2339,COMP_M,10,10_54,10_(52-54),122,124,90,90,10_52,48.93103448275862,4790.802796151032,4839.7338306337915,4790.802796151032,4790.802796151032
755,COMP_M,15,15_84,15_(82-84),152,154,88,97,15_82,59.93265306122449,4792.537485767089,4852.470138828313,4772.537349062821,4792.537485767089
433,COMP_M,4,4_23,4_(22-23),92,93,28,20,4_22,35.871875,4792.537501488741,4828.409376488741,4778.846314801459,4792.537501488741
3245,COMP_M,8,8_46,8_(43-46),113,116,29,20,8_43,40.6453125,4793.5732473226435,4834.218559822643,4765.855561485794,4780.855676758128
1612,COMP_M,1,1_8,1_(3-8),73,78,34,17,1_3,23.983981693363845,4794.154574370756,4818.138556064119,4779.154461787477,4794.154574370756
324,COMP_M,13,13_69,13_(68-69),138,139,58,55,13_68,189.49618320610688,4794.415148147652,4983.911331353759,2907.663857721662,2922.663956441262
3227,COMP_M,3,3_20,3_(12-20),82,90,41,14,3_12,83.41795665634675,4794.905213718003,4878.32317037435,4759.904953733602,4794.905213718003
2871,COMP_M,0,0_1,0_(0-1),70,71,19,51,0_0,112.46388888888889,4795.911680961859,4908.3755698507475,4274.892175121416,4284.892236517416
2518,COMP_M,18,18_96,M.USER.APP.18,67,166,52,37,None,66.07106598984771,4796.045717541509,4862.116783531356,3600.0,3650.000390556173
